# EPICA Dome C and EPICA Dronning Maud Land 140ka Deuterium Excess Data
#----------------------------------------------------------------------- 
#                World Data Service for Paleoclimatology, Boulder 
#                                  and 
#                     NOAA Paleoclimatology Program 
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------------------------- 
# Template Version 3.0
# Encoding: UTF-8
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data. 
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed. 
#
# Online_Resource: https://www.ncdc.noaa.gov/paleo/study/27950 
#       Description: NOAA Landing Page
# Online_Resource: https://www1.ncdc.noaa.gov/pub/data/paleo/icecore/antarctica/stenni2010edc-deutex.txt
#       Description: NOAA location of the template
#
# Original_Source_URL:  
#       Description:
# 
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Ice Core
#
# Dataset DOI: 
#
# Parameter_Keywords: oxygen isotopes, hydrogen isotopes, reconstruction
#---------------------------------------
# Contribution_Date
#    Date: 2019-10-12
#---------------------------------------
# File_Last_Modified_Date
#    Date: 2019-10-12
#---------------------------------------
# Title
#    Study_Name: EPICA Dome C and EPICA Dronning Maud Land 140ka Deuterium Excess Data
#---------------------------------------
# Investigators
#      Investigators: Stenni, B.; Masson-Delmotte, V.; Selmo, E.; Oerter, H.; Meyer, H.; Röthlisberger, R.; Jouzel, J.; Cattani, O.; Falourd, S.; Fischer, H.; Hoffmann, G.; Iacumin, P.; Johnsen, S.J.; Minster, B.; Udisti, R. 
#---------------------------------------
# Description_Notes_and_Keywords
#        Description: Deuterium (d2H) and deuterium excess (d) data from the two EPICA ice cores drilled in Dronning Maud Land (EDML) and Dome C (EDC), 
#	 plus site and source area temperature reconstructions.  For an explanation of the T reconstruction method and corrections applied see Stenni et al., 2010.
#         Provided Keywords: deuterium excess, oxygen isotopes, hydrogen isotopes, ice cores, Antarctica, site and source temperatures
#---------------------------------------
# Publication
# Authors: B. Stenni, V. Masson-Delmotte, E. Selmo, H. Oerter, H. Meyer,  R. Röthlisberger, J. Jouzel, O. Cattani, S. Falourd, H. Fischer, G. Hoffmann, P. Iacumin, S.J. Johnsen, B. Minster, R. Udisti 
# Published_Date_or_Year: 2010-01-01
# Published_Title: The deuterium excess records of EPICA Dome C and Dronning Maud Land ice cores (East Antarctica)
# Journal_Name: Quaternary Science Reviews
# Volume: 29
# Edition: 
# Issue: 1-2
# Pages: 146-159
# Report Number: 
# DOI: 10.1016/j.quascirev.2009.10.009
# Online_Resource: https://www.sciencedirect.com/science/article/pii/S0277379109003540
# Full_Citation: 
# Abstract: New high-resolution deuterium excess (d) data from the two EPICA ice cores drilled in Dronning Maud Land (EDML) and Dome C (EDC) are presented here. The main moisture sources for precipitation at EDC and EDML are located in the Indian Ocean and Atlantic Ocean, respectively. The more southward moisture origin for EDML is reflected in a lower present-day d value, compared to EDC. The EDML and EDC isotopic records (d18O and d) show the main climate features common to the East Antarctic plateau and similar millennial scale climate variability during the last glacial period. However, quite large d18O and d differences are observed during MIS5.5 and the glacial inception with a long-term behaviour. A possibility for this long-term difference could be related to uncertainties in past accumulation rate which are used in the glaciological models. Regional climate anomalies between the two sites during MIS5.5 could also be consistent with the observed EDML-EDC d18O and d gradient anomalies. Simulations performed with the General Circulation Model ECHAM4 for different time slices provide a temporal temperature/isotope slope for the EDML region in fair agreement to the modern spatial slope. Tsite and Tsource records are extracted from both ice cores, using a modelling approach, after corrections for past d18O seawater and elevation changes. A limited impact of d on Antarctic temperature reconstruction at both EDML and EDC has been found with a higher impact only at glacial inception. The AIM (Antarctic Isotope Maximum) events in both ice cores are visible also after the source correction, suggesting that these are real climate features of the glacial period. The different shape of the AIM events between EDC and EDML, as well as some climate features in the early Holocene, points to a slightly different climate evolution at regional scale. A comparison of our temperature reconstruction profiles with the aerosol fluxes show a strong coupling of the nssCa fluxes with Antarctic temperatures during glacial period and a tighter coupling of d18O and Tsite with ssNa flux at EDML compared to EDC during the glacial period and MIS5.5.
#---------------------------------------
# Funding_Agency
#    Funding_Agency_Name: European Union (EPICAMIS) and by national contributions from Belgium, Denmark, France, Germany, Italy, the Netherlands, Norway, Sweden, Switzerland and the United Kingdom.
#    Grant: 
#---------------------------------------
# Site_ Information
# Site_Name: EPICA Dome C
# Location: Antarctica
# Country: 
# Northernmost_Latitude: -75.1
# Southernmost_Latitude: -75.1
# Easternmost_Longitude: 123.39
# Westernmost_Longitude: 123.39
# Elevation: 3233 m
#---------------------------------------
# Data_Collection
#   Collection_Name: EDC2010deutEx
#   First_Year: 140060
#   Last_Year: 38
#   Time_Unit: cal yr BP
#   Core_Length: 3259.72
#   Notes: Bag samples 55 cm length, here we consider the ice core depth interval 6.6-1790.25 m
#---------------------------------------
# Chronology_Information 
# Chronology: EDC3 age scale from Parrenin et al., Clim. Past, 3, 485-497 (2007), data at: https://doi.pangaea.de/10.1594/PANGAEA.671367
#---------------------------------------
# Variables
# Data variables follow that are preceded by "##" in columns one and two.
# Variables list, one per line, shortname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data)
#
## EDCdepth_top	depth,,,meter,,ice cores,,,N,EDCbag depth top (m)
## Age_EDC3	age,,,calendar kiloyear before present,,ice cores,,,N,EDC3 ky BP (1950 AD)
## EDCBag_18O	delta 18O,,,per mil,,ice cores,,,N,oxygen isotopic composition (d18O) of EDC bag samples
## EDCBag_2H	delta 2H,,,per mil,,ice cores,,,N,hydrogen isotopic composition (dD) of EDC bag samples
## EDCbag_excess	deuterium excess,,,per mil,,ice cores,,,N,deuterium excess = dD-8*d18O of EDC bag samples
#
#------------------------
# Data
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing_Values: NaN 
EDCdepth_top	Age_EDC3	EDCBag_18O	EDCBag_2H	EDCbag_excess
76.45	1.7023	-51.3	-400.8	9.44
77	1.7198	-51.1	-399.3	9.58
77.55	1.737	-50.6	-396.6	8.52
78.1	1.7542	-50.6	-395.3	9.10
78.65	1.7706	-50.2	-392.6	8.68
79.2	1.7874	-51.7	-404.4	9.04
79.75	1.8042	-50.7	-394.4	11.04
80.3	1.822	-51.4	-402.2	9.08
80.85	1.8393	-51.5	-401.9	9.70
81.4	1.8565	-50.2	-393.8	7.80
81.95	1.8726	-51.4	-402.3	9.22
82.5	1.889	-49.4	-385.1	9.78
83.05	1.9055	-50.7	-395.9	9.54
83.6	1.922	-50.7	-395.8	9.40
84.15	1.9382	-50.9	-398.2	8.92
84.7	1.9555	-50.6	-394.8	9.68
85.25	1.9728	-50.8	-397.7	8.46
85.8	1.99	-51.3	-400.3	10.02
86.35	2.0074	-51.3	-402.4	8.32
86.9	2.0252	-50.3	-396.0	6.64
87.45	2.0435	-51.4	-401.4	9.48
88	2.061	-49.6	-386.1	10.38
88.55	2.0781	-51.2	-400.1	9.26
89.1	2.0952	-51.1	-400.3	8.74
89.65	2.1125	-50.3	-393.2	9.20
90.2	2.1297	-51.1	-399.7	9.10
90.75	2.1473	-50.9	-397.9	8.98
91.3	2.1653	-51.5	-402.0	9.68
91.85	2.184	-51.0	-398.7	9.62
92.4	2.2023	-50.9	-398.6	8.52
92.95	2.2194			
93.5	2.2366	-50.0	-390.6	9.08
94.05	2.2534	-50.3	-394.0	8.48
94.6	2.2709	-50.8	-397.9	8.66
95.15	2.2888	-50.4	-394.8	8.24
95.7	2.3063	-52.1	-408.2	8.36
96.25	2.3266	-51.7	-404.3	9.14
96.8	2.3469	-51.0	-399.6	8.32
97.35	2.3666	-51.2	-400.8	8.56
97.9	2.3854	-51.3	-401.5	8.74
98.45	2.4045	-52.2	-407.7	10.06
99	2.4238	-51.2	-400.5	9.26
99.55	2.4431	-50.5	-395.8	8.44
100.1	2.4625	-51.0	-399.7	8.54
100.65	2.4809	-51.0	-399.6	8.72
101.2	2.4996	-50.3	-394.8	7.44
101.75	2.5178	-50.9	-398.5	8.30
102.3	2.5351	-49.9	-390.2	8.76
102.85	2.5528	-50.6	-396.4	8.72
103.4	2.5708	-50.2	-392.7	9.14
103.95	2.589	-50.9	-400.4	7.12
104.5	2.6072	-50.3	-393.5	8.58
105.05	2.6245	-49.8	-390.6	7.64
105.6	2.6418	-50.3	-395.2	7.12
106.15	2.6591	-50.5	-396.9	6.86
106.7	2.678	-51.0	-399.1	8.98
107.25	2.6966	-50.5	-396.9	7.10
107.8	2.7149	-51.3	-401.0	9.16
108.35	2.7327	-49.6	-387.9	8.82
108.9	2.7502	-49.9	-390.3	8.82
109.45	2.7675	-49.9	-390.8	8.48
110	2.7843	-49.9	-390.2	9.00
110.55	2.8014	-50.5	-395.6	8.24
111.1	2.8184	-49.6	-387.7	9.34
111.65	2.8351	-49.8	-388.9	9.42
112.2	2.8518	-49.6	-388.9	7.82
112.75	2.8698	-50.5	-395.4	8.60
113.3	2.888	-51.2	-399.5	9.86
113.85	2.9062	-51.6	-401.7	11.10
114.4	2.9242	-50.1	-392.2	8.52
114.95	2.9429	-50.4	-393.9	9.46
115.5	2.9612	-50.8	-397.7	8.46
116.05	2.9804	-51.2	-401.1	8.82
116.6	2.9997	-50.6	-395.7	8.94
117.15	3.0187	-51.1	-398.7	9.86
117.7	3.0374	-50.7	-395.0	10.68
118.25	3.056	-50.6	-394.7	9.86
118.8	3.0741	-50.6	-395.8	9.32
119.35	3.092	-50.2	-391.8	9.64
119.9	3.1103			
120.45	3.1285	-49.5	-387.9	7.78
121	3.1467	-51.7	-404.4	9.28
121.55	3.1653	-51.2	-401.1	8.26
122.1	3.1857	-51.6	-403.4	9.72
122.65	3.2066	-50.2	-391.8	9.64
123.2	3.2268	-51.2	-400.5	9.10
123.75	3.2469	-52.0	-406.2	9.64
124.3	3.2672	-50.3	-392.7	9.54
124.85	3.2867	-51.1	-400.0	8.72
125.4	3.3066	-51.4	-401.9	9.38
125.95	3.3259	-50.0	-391.3	8.94
126.5	3.3455	-51.0	-399.8	8.12
127.05	3.3651	-51.8	-404.2	9.80
127.6	3.3851	-50.7	-395.6	9.68
128.15	3.4055	-50.9	-397.2	9.60
128.7	3.4255	-50.9	-398.2	8.84
129.25	3.4452	-50.7	-396.6	9.16
129.8	3.4649	-50.5	-395.6	8.64
130.35	3.4838	-50.3	-392.7	9.78
130.9	3.5031	-51.5	-401.8	10.20
131.45	3.5221	-49.7	-387.3	10.30
132	3.5406	-50.5	-394.6	9.08
132.55	3.5591	-50.9	-397.2	10.08
133.1	3.5783	-50.6	-394.5	9.98
133.65	3.5983	-51.0	-399.5	8.58
134.2	3.6177	-49.9	-389.9	9.14
134.75	3.6358	-50.0	-390.8	8.88
135.3	3.6539	-50.4	-394.4	8.96
135.85	3.672	-50.0	-391.7	8.46
136.4	3.6906	-50.0	-389.2	10.72
136.95	3.7089	-51.4	-401.6	9.92
137.5	3.7271	-49.5	-387.2	9.12
138.05	3.7455	-49.6	-387.8	9.24
138.6	3.7636	-51.8	-404.9	9.42
139.15	3.783	-49.7	-388.9	8.70
139.7	3.8023	-50.7	-394.9	10.30
140.25	3.8216	-50.2	-393.8	7.96
140.8	3.8416	-51.3	-399.6	10.96
141.35	3.8613	-51.3	-400.9	9.58
141.9	3.8809	-49.9	-391.0	8.44
142.45	3.9005	-50.6	-396.1	8.78
143	3.9197	-50.9	-398.5	8.30
143.55	3.9399	-50.6	-396.5	8.46
144.1	3.9601	-50.9	-397.8	9.00
144.65	3.9796	-50.2	-392.9	8.54
145.2	3.9994	-51.1	-398.7	10.42
145.75	4.0192	-51.1	-398.9	9.66
146.3	4.0379	-49.9	-390.6	8.68
146.85	4.0569	-50.0	-390.4	9.36
