/* DATA DESCRIPTION:
Citation:	Lambert, Fabrice; Bigler, Matthias; Steffensen, Jørgen Peder; Hutterli, Manuel A; Fischer, Hubertus (2012): EDC dust laser signal (24-769.5 m) [dataset]. PANGAEA, https://doi.org/10.1594/PANGAEA.780541, 
	In supplement to: Lambert, F et al. (2012): Centennial mineral dust variability in high-resolution ice core data from Dome C, Antarctica. Climate of the Past, 8, 609-623, https://doi.org/10.5194/cp-8-609-2012
Project(s):	European Project for Ice Coring in Antarctica (EPICA) (URI: https://en.wikipedia.org/wiki/European_Project_for_Ice_Coring_in_Antarctica)
Funding:	Fifth Framework Programme (FP5), grant/award no. EVK2-CT-2000-00077: European Project for Ice Coring in Antarctica (URI: https://cordis.europa.eu/project/id/EVK2-CT-2000-00077)
	Fourth Framework Programme (FP4), grant/award no. ENV4980702: European Project for Ice Coring in Antarctica (URI: https://cordis.europa.eu/project/id/ENV4980702)
Coverage:	LATITUDE: -75.100000 * LONGITUDE: 123.350000
	DATE/TIME START: 1993-01-01T00:00:00 * DATE/TIME END: 2004-12-31T00:00:00
	MINIMUM DEPTH, ice/snow: 24.20 m * MAXIMUM DEPTH, ice/snow: 784.99 m
Event(s):	EDC (EPICA Dome C) (URI: https://en.wikipedia.org/wiki/Dome_C) * LATITUDE: -75.100000 * LONGITUDE: 123.350000 * DATE/TIME START: 1993-01-01T00:00:00 * DATE/TIME END: 2004-12-31T00:00:00 * ELEVATION: 3233.0 m * Recovery: 3300 m * LOCATION: Dome C, Antarctica * CAMPAIGN: Dome C * METHOD/DEVICE: Ice drill (ICEDRILL) * COMMENT: Drill site is 56 km from the site of a previous Dome C core that provided records extending into the last glacial period, and 560 km from the site of the Vostok cores. The completion of the Dome C core was delayed when the first drilling became stuck at 788 m in 1999 (EDC96).
Comment:	The file "EDC_KPHdust_1cm.dat" contains the EPICA Dome C insoluble dust measured with the Copenhavn laser sensor on a depth and EDC3 age scale. Below 769.5m depth insoluble dust was measured with the Bern sensor, data available in the file "EDC_CaDustConc_1cm.dat".
Parameter(s):	AGE [ka BP] (Age) * GEOCODE
	DEPTH, ice/snow [m] (Depth ice/snow) * GEOCODE
	Signal [V] (Signal) * PI: Lambert, Fabrice (https://orcid.org/0000-0002-2192-024X, ambert@uc.c) * COMMENT: of dust laser
License:	Creative Commons Attribution 3.0 Unported (CC-BY-3.0) (URI: https://creativecommons.org/licenses/by/3.0/)
Size:	44031 data points
*/
Age [ka BP]	Depth ice/snow [m]	Signal [V]
14.455816	422.71	0.0711
14.456264	422.72	0.0686
14.456711	422.73	0.0698
14.457159	422.74	0.0673
14.457606	422.75	0.0727
14.458054	422.76	0.0798
14.458501	422.77	0.0708
14.458948	422.78	0.0688
14.459396	422.79	0.0683
14.459844	422.80	0.0653
14.460291	422.81	0.0659
14.460738	422.82	0.0689
14.461186	422.83	0.0670
14.461633	422.84	0.0669
14.462081	422.85	0.1264
14.462528	422.86	0.1391
14.462976	422.87	0.1106
14.463871	422.89	0.0980
14.464318	422.90	0.0783
14.464766	422.91	0.0727
14.465213	422.92	0.0716
14.465661	422.93	0.0676
14.466108	422.94	0.0701
14.466556	422.95	0.0770
14.467044	422.96	0.0777
14.467533	422.97	0.0854
14.468022	422.98	0.0802
14.468511	422.99	0.0794
14.468999	423.00	0.0787
14.469488	423.01	0.0762
14.469977	423.02	0.0755
14.470466	423.03	0.0757
14.470954	423.04	0.0762
14.471443	423.05	0.0768
14.471932	423.06	0.0757
14.472421	423.07	0.0771
14.472909	423.08	0.0736
14.473398	423.09	0.0739
14.473887	423.10	0.0734
14.474376	423.11	0.0736
14.474864	423.12	0.0719
14.475353	423.13	0.0746
14.475842	423.14	0.0720
14.476330	423.15	0.0700
14.476819	423.16	0.0733
14.477308	423.17	0.0758
14.477797	423.18	0.0710
14.478286	423.19	0.0713
14.478774	423.20	0.0702
14.479263	423.21	0.0692
14.479752	423.22	0.1098
14.480240	423.23	0.1086
14.480729	423.24	0.0941
14.481218	423.25	0.0865
14.481707	423.26	0.0880
14.482195	423.27	0.0840
14.482684	423.28	0.0767
14.483173	423.29	0.0766
14.483662	423.30	0.0769
14.484150	423.31	0.0783
14.484639	423.32	0.0746
14.485128	423.33	0.0721
14.485617	423.34	0.0731
14.486105	423.35	0.0713
14.486594	423.36	0.0697
14.487083	423.37	0.0693
14.487572	423.38	0.0700
14.488060	423.39	0.0692
14.488549	423.40	0.0712
14.489038	423.41	0.0731
14.489527	423.42	0.0709
14.490015	423.43	0.0688
14.490504	423.44	0.0716
14.490993	423.45	0.0674
14.491482	423.46	0.0689
14.491970	423.47	0.1015
14.492459	423.48	0.1584
14.493923	423.51	0.0914
14.494409	423.52	0.0742
14.494895	423.53	0.0665
14.495381	423.54	0.0700
14.495868	423.55	0.0648
14.496354	423.56	0.0649
14.496840	423.57	0.0677
14.497326	423.58	0.0712
14.497812	423.59	0.0731
14.498298	423.60	0.0664
14.498785	423.61	0.0683
14.499271	423.62	0.0724
14.499757	423.63	0.0703
14.500243	423.64	0.0699
14.500730	423.65	0.0704
14.501216	423.66	0.0693
14.501702	423.67	0.0675
14.502188	423.68	0.0666
14.502674	423.69	0.0678
14.503161	423.70	0.0634
14.503647	423.71	0.0627
14.504133	423.72	0.0589
14.504619	423.73	0.0580
14.505105	423.74	0.0580
14.505592	423.75	0.0582
14.506078	423.76	0.0604
14.506564	423.77	0.0613
14.507050	423.78	0.0616
14.507536	423.79	0.0594
14.508023	423.80	0.0600
14.508509	423.81	0.0675
14.508995	423.82	0.1155
14.509481	423.83	0.1045
14.521614	424.08	0.0873
14.522093	424.09	0.0806
14.522572	424.10	0.0732
14.523051	424.11	0.0711
14.523530	424.12	0.0701
14.524008	424.13	0.0687
14.524487	424.14	0.0681
14.524966	424.15	0.0679
14.525445	424.16	0.0659
14.525924	424.17	0.0623
14.526403	424.18	0.0637
14.526882	424.19	0.0666
14.527360	424.20	0.0604
14.527839	424.21	0.0593
14.528318	424.22	0.0650
14.528797	424.23	0.0655
14.529276	424.24	0.0633
14.529755	424.25	0.0661
14.530234	424.26	0.0771
14.530712	424.27	0.0757
14.531191	424.28	0.0889
14.531670	424.29	0.0825
14.532149	424.30	0.1000
14.532628	424.31	0.1600
14.533107	424.32	0.2107
14.540290	424.47	0.1527
14.540768	424.48	0.1174
14.541247	424.49	0.1013
14.541726	424.50	0.0780
14.542205	424.51	0.0713
14.542684	424.52	0.0738
14.543163	424.53	0.0888
14.543642	424.54	0.0862
14.544120	424.55	0.0896
14.544599	424.56	0.0960
14.545078	424.57	0.0999
14.545557	424.58	0.0929
14.546036	424.59	0.1639
14.546515	424.60	0.1014
14.547006	424.61	0.0972
14.547497	424.62	0.1004
14.547988	424.63	0.0908
14.548480	424.64	0.0771
14.548971	424.65	0.0738
14.549462	424.66	0.0703
14.549953	424.67	0.0681
14.550444	424.68	0.0694
14.550936	424.69	0.0691
14.551427	424.70	0.0651
14.551918	424.71	0.0653
14.552409	424.72	0.0681
14.552901	424.73	0.0695
14.553392	424.74	0.0722
14.553883	424.75	0.0708
14.554374	424.76	0.0794
14.554866	424.77	0.0712
14.555357	424.78	0.0698
14.555848	424.79	0.0653
14.556339	424.80	0.0660
14.556830	424.81	0.0658
14.557322	424.82	0.0662
14.557813	424.83	0.0650
14.558304	424.84	0.0672
14.558795	424.85	0.0685
14.559287	424.86	0.0666
14.559778	424.87	0.0665
14.560269	424.88	0.0660
14.560760	424.89	0.0723
14.561252	424.90	0.0679
14.561743	424.91	0.0645
14.562234	424.92	0.0625
14.562725	424.93	0.0679
14.563216	424.94	0.0661
14.563708	424.95	0.0703
14.564199	424.96	0.0629
14.564690	424.97	0.0608
14.565181	424.98	0.0629
14.565672	424.99	0.0693
14.566164	425.00	0.0701
14.566655	425.01	0.0683
14.567146	425.02	0.0723
14.567638	425.03	0.0720
14.568129	425.04	0.0781
14.568620	425.05	0.0745
14.569111	425.06	0.0739
14.569602	425.07	0.0790
14.570094	425.08	0.0882
14.570585	425.09	0.0840
14.571076	425.10	0.0860
14.571567	425.11	0.0793
14.572058	425.12	0.0684
14.572550	425.13	0.0689
14.573041	425.14	0.0794
14.573532	425.15	0.0758
14.574035	425.16	0.0775
14.574538	425.17	0.0739
14.575042	425.18	0.0837
14.575545	425.19	0.3197
14.576048	425.20	0.2740
14.576551	425.21	0.2390
14.577054	425.22	0.2085
14.577557	425.23	0.1181
14.578060	425.24	0.0968
14.578563	425.25	0.0859
14.579066	425.26	0.0754
14.579570	425.27	0.0736
14.580073	425.28	0.0834
14.580576	425.29	0.0951
14.581079	425.30	0.0872
14.581582	425.31	0.0953
14.582085	425.32	0.0898
14.582588	425.33	0.0847
14.583091	425.34	0.0849
14.583594	425.35	0.0765
14.584098	425.36	0.0723
14.584601	425.37	0.0761
14.585104	425.38	0.0655
14.585607	425.39	0.0686
14.586110	425.40	0.0730
14.586613	425.41	0.0752
14.587116	425.42	0.0825
14.587619	425.43	0.0772
14.588122	425.44	0.0890
14.588625	425.45	0.1011
14.589128	425.46	0.0919
14.589632	425.47	0.0888
14.590135	425.48	0.0807
14.590638	425.49	0.0774
14.591141	425.50	0.0785
14.591644	425.51	0.0833
14.592147	425.52	0.0805
14.592650	425.53	0.0748
14.593153	425.54	0.1000
14.593656	425.55	0.1038
14.594160	425.56	0.1015
14.594663	425.57	0.1288
14.595166	425.58	0.1263
14.595669	425.59	0.1425
14.596172	425.60	0.1519
14.596675	425.61	0.1486
14.597178	425.62	0.1540
14.597681	425.63	0.1595
14.598184	425.64	0.2122
14.598688	425.65	0.2373
14.599191	425.66	0.2671
14.599694	425.67	0.2315
14.600197	425.68	0.1798
14.600700	425.69	0.2652
14.601203	425.70	0.0810
14.601737	425.71	0.0794
14.602271	425.72	0.0789
14.602805	425.73	0.0740
14.603339	425.74	0.0756
14.603873	425.75	0.0845
14.604406	425.76	0.0865
14.604940	425.77	0.1003
14.605474	425.78	0.0949
14.606008	425.79	0.0860
14.606542	425.80	0.0985
14.607076	425.81	0.1056
14.607610	425.82	0.0992
14.608144	425.83	0.1114
14.608678	425.84	0.1447
14.609212	425.85	0.1672
14.609745	425.86	0.1291
14.610279	425.87	0.1217
14.610813	425.88	0.1233
14.611347	425.89	0.1148
14.611881	425.90	0.1098
14.612415	425.91	0.0989
14.612949	425.92	0.0903
14.613483	425.93	0.0756
14.614017	425.94	0.0708
14.614550	425.95	0.0717
14.615084	425.96	0.0682
14.615618	425.97	0.0672
14.616152	425.98	0.0696
14.616686	425.99	0.0725
14.617220	426.00	0.0785
14.617754	426.01	0.0701
14.618288	426.02	0.0722
14.618822	426.03	0.0936
14.619356	426.04	0.0877
14.619890	426.05	0.1019
14.620423	426.06	0.1095
14.620957	426.07	0.1166
14.621491	426.08	0.1208
14.622025	426.09	0.1089
14.622559	426.10	0.1096
14.623093	426.11	0.1009
14.623627	426.12	0.0852
14.624161	426.13	0.0944
14.624694	426.14	0.1441
14.625228	426.15	0.1702
14.625762	426.16	0.1853
14.626296	426.17	0.1669
14.626830	426.18	0.1174
14.627364	426.19	0.1031
14.627898	426.20	0.0945
14.628432	426.21	0.0794
14.628966	426.22	0.0903
14.629500	426.23	0.0886
14.630034	426.24	0.0890
14.630567	426.25	0.0852
14.631100	426.26	0.0770
14.631634	426.27	0.0943
14.632167	426.28	0.0880
14.632700	426.29	0.0862
14.633233	426.30	0.0919
14.633766	426.31	0.0803
14.634299	426.32	0.0762
14.634832	426.33	0.0736
14.635365	426.34	0.0770
14.635898	426.35	0.0758
14.636431	426.36	0.0709
14.636964	426.37	0.0644
14.637497	426.38	0.0627
14.638030	426.39	0.0662
14.638563	426.40	0.0634
14.639096	426.41	0.0837
14.639629	426.42	0.1392
14.640162	426.43	0.2339
14.640696	426.44	0.1766
14.641229	426.45	0.1284
14.641762	426.46	0.1022
14.644960	426.52	0.0914
14.645493	426.53	0.0926
14.646026	426.54	0.0770
14.646559	426.55	0.0690
14.647092	426.56	0.0683
14.647625	426.57	0.0694
14.648158	426.58	0.0744
14.648691	426.59	0.0829
14.649224	426.60	0.0791
14.649758	426.61	0.0802
14.650291	426.62	0.0792
14.650824	426.63	0.0731
14.651357	426.64	0.0717
14.651890	426.65	0.0703
14.652423	426.66	0.0688
14.652956	426.67	0.0691
14.653489	426.68	0.0687
14.654022	426.69	0.0746
14.654555	426.70	0.0805
14.655088	426.71	0.0780
14.655621	426.72	0.0860
14.656154	426.73	0.0872
14.656687	426.74	0.1065
14.657220	426.75	0.1386
14.657754	426.76	0.1188
14.658286	426.77	0.1278
14.658820	426.78	0.1821
14.660394	426.81	0.0791
14.660902	426.82	0.0842
14.661410	426.83	0.0829
14.661918	426.84	0.0879
14.662426	426.85	0.0900
14.662934	426.86	0.0833
14.663442	426.87	0.0744
14.663950	426.88	0.0699
14.664458	426.89	0.0735
14.664965	426.90	0.0750
14.665473	426.91	0.0726
14.665981	426.92	0.0768
14.666489	426.93	0.0732
14.666997	426.94	0.0733
14.667505	426.95	0.0723
14.668013	426.96	0.0740
14.668521	426.97	0.0801
14.669029	426.98	0.0793
14.669537	426.99	0.0796
14.670045	427.00	0.0747
14.670553	427.01	0.0697
14.671061	427.02	0.0689
14.671569	427.03	0.0630
14.672077	427.04	0.0651
14.672585	427.05	0.0721
14.673093	427.06	0.0712
14.673601	427.07	0.0979
14.674109	427.08	0.0790
14.674617	427.09	0.0868
14.675125	427.10	0.0801
14.675633	427.11	0.0888
14.676141	427.12	0.0781
14.676649	427.13	0.0841
14.677157	427.14	0.0794
14.677665	427.15	0.1069
14.678173	427.16	0.0929
14.678681	427.17	0.0831
14.679189	427.18	0.0897
14.679697	427.19	0.0965
14.680205	427.20	0.0907
14.680713	427.21	0.0890
14.681221	427.22	0.0910
14.681728	427.23	0.0988
14.682236	427.24	0.0896
14.682744	427.25	0.0986
14.683252	427.26	0.0984
14.683760	427.27	0.0954
14.684268	427.28	0.1146
14.684776	427.29	0.1065
14.685284	427.30	0.0904
14.685792	427.31	0.0917
14.686300	427.32	0.0818
14.686808	427.33	0.0795
14.687316	427.34	0.0696
14.687824	427.35	0.0731
14.688334	427.36	0.0724
14.688843	427.37	0.0648
14.689352	427.38	0.0653
14.689861	427.39	0.0657
14.690370	427.40	0.0632
14.690880	427.41	0.0633
14.691389	427.42	0.0664
14.691898	427.43	0.0692
14.692408	427.44	0.0667
14.692917	427.45	0.0633
14.693426	427.46	0.0637
14.693935	427.47	0.0664
14.694445	427.48	0.0679
14.694954	427.49	0.0625
14.695463	427.50	0.0653
14.695972	427.51	0.0662
14.696482	427.52	0.0663
14.696991	427.53	0.0660
14.697500	427.54	0.0640
14.698010	427.55	0.0651
14.698519	427.56	0.0655
14.699028	427.57	0.0671
14.699537	427.58	0.0712
14.700047	427.59	0.0672
14.700556	427.60	0.0652
14.701065	427.61	0.0721
14.701574	427.62	0.0686
14.702084	427.63	0.0672
14.702593	427.64	0.0666
14.703102	427.65	0.0655
14.703612	427.66	0.0633
14.704121	427.67	0.0628
14.704630	427.68	0.0601
14.705139	427.69	0.0626
14.705649	427.70	0.0633
14.706158	427.71	0.0673
14.706667	427.72	0.0609
14.707176	427.73	0.0658
14.707686	427.74	0.0677
14.708195	427.75	0.0755
14.708704	427.76	0.0781
14.709214	427.77	0.0810
14.709723	427.78	0.0871
14.710232	427.79	0.0846
14.710741	427.80	0.0895
14.711251	427.81	0.0800
14.711760	427.82	0.1047
14.712269	427.83	0.1023
14.712778	427.84	0.0889
14.713288	427.85	0.0901
14.713797	427.86	0.1152
14.714306	427.87	0.1705
14.714816	427.88	0.2525
14.715325	427.89	0.2087
14.715834	427.90	0.0999
14.716344	427.91	0.0884
14.716855	427.92	0.0959
14.717366	427.93	0.1021
14.717876	427.94	0.0924
14.718387	427.95	0.0838
14.718897	427.96	0.0853
14.719408	427.97	0.0858
14.719918	427.98	0.0842
14.720429	427.99	0.0885
14.720939	428.00	0.0939
14.721450	428.01	0.0808
14.721960	428.02	0.0790
14.722471	428.03	0.0826
14.722981	428.04	0.0786
14.723492	428.05	0.0841
14.724002	428.06	0.0955
14.724513	428.07	0.1106
14.725023	428.08	0.1317
14.725534	428.09	0.1264
14.726044	428.10	0.1216
14.726555	428.11	0.0963
14.727065	428.12	0.0833
14.727576	428.13	0.0946
14.728086	428.14	0.0879
14.728597	428.15	0.0838
14.729107	428.16	0.0844
14.729618	428.17	0.2348
14.730128	428.18	0.2053
14.730639	428.19	0.1424
14.731149	428.20	0.1301
14.731660	428.21	0.2639
14.732170	428.22	0.6144
14.732681	428.23	0.4171
14.733191	428.24	0.2514
14.733702	428.25	0.1985
14.734212	428.26	0.1869
14.734723	428.27	0.7895
14.735233	428.28	0.6456
14.735744	428.29	0.4254
14.736254	428.30	0.2481
14.736765	428.31	0.1581
14.737276	428.32	0.1287
14.737786	428.33	0.1134
14.738296	428.34	0.1023
14.738807	428.35	0.1055
14.739318	428.36	0.0922
14.739828	428.37	0.0943
14.740338	428.38	0.0809
14.740849	428.39	0.0770
14.741360	428.40	0.0751
14.741870	428.41	0.0732
14.742381	428.42	0.0735
14.742891	428.43	0.0731
14.743402	428.44	0.0772
14.743912	428.45	0.0700
14.744391	428.46	0.0645
14.744871	428.47	0.0631
14.745350	428.48	0.0623
14.745829	428.49	0.0626
14.746308	428.50	0.0718
14.746788	428.51	0.0838
14.747267	428.52	0.0899
14.747746	428.53	0.0872
14.748225	428.54	0.0824
14.748704	428.55	0.0796
14.749184	428.56	0.0719
14.749663	428.57	0.0800
14.750142	428.58	0.0703
14.750622	428.59	0.0735
14.751101	428.60	0.0727
14.751580	428.61	0.0714
14.752059	428.62	0.0688
14.752538	428.63	0.0693
14.753018	428.64	0.0678
14.753497	428.65	0.0681
14.753976	428.66	0.0644
14.754456	428.67	0.0640
14.754935	428.68	0.0647
14.755414	428.69	0.0605
14.755893	428.70	0.0600
14.756372	428.71	0.0657
14.756852	428.72	0.0684
14.757331	428.73	0.0699
14.757810	428.74	0.0708
14.758289	428.75	0.0716
14.758769	428.76	0.0692
14.759248	428.77	0.0735
14.759727	428.78	0.0698
14.760206	428.79	0.1053
14.760686	428.80	0.1157
14.761165	428.81	0.1275
14.761644	428.82	0.1172
14.762123	428.83	0.1280
14.762603	428.84	0.1573
14.763082	428.85	0.1217
14.763561	428.86	0.1056
14.764040	428.87	0.0962
14.764520	428.88	0.0874
14.764999	428.89	0.0812
14.765478	428.90	0.0741
14.765957	428.91	0.0688
14.766437	428.92	0.0689
14.766916	428.93	0.0734
14.767395	428.94	0.0679
14.767874	428.95	0.0662
14.768354	428.96	0.0821
14.768833	428.97	0.1238
14.769312	428.98	0.1146
14.770746	429.01	0.0770
14.771222	429.02	0.0789
14.771698	429.03	0.0774
14.772174	429.04	0.0714
14.772650	429.05	0.0690
14.773126	429.06	0.0672
14.773602	429.07	0.0635
14.774078	429.08	0.0659
14.774554	429.09	0.0670
14.775030	429.10	0.0725
14.775506	429.11	0.0669
14.775982	429.12	0.0820
14.776458	429.13	0.0877
14.776934	429.14	0.0813
14.777410	429.15	0.0810
14.777886	429.16	0.0786
14.778362	429.17	0.0728
14.778838	429.18	0.0737
14.779314	429.19	0.0707
14.779790	429.20	0.0691
14.780266	429.21	0.0648
14.780742	429.22	0.0651
14.781218	429.23	0.0669
14.781694	429.24	0.0678
14.782170	429.25	0.0666
14.782645	429.26	0.0666
14.783121	429.27	0.0651
14.783597	429.28	0.0669
14.784073	429.29	0.0637
14.784549	429.30	0.0655
14.785025	429.31	0.0652
14.785501	429.32	0.0656
14.785977	429.33	0.0636
14.786453	429.34	0.0656
14.786929	429.35	0.0612
14.787405	429.36	0.0657
14.787881	429.37	0.1443
14.788357	429.38	0.7170
14.788833	429.39	1.0904
14.789309	429.40	1.1081
14.789785	429.41	0.6988
14.790261	429.42	0.4099
14.790737	429.43	0.1954
14.791213	429.44	0.1249
14.791689	429.45	0.0965
14.792165	429.46	0.0843
14.792640	429.47	0.0857
14.793116	429.48	0.0771
14.793592	429.49	0.0761
14.794068	429.50	0.0731
14.794544	429.51	0.0675
14.795020	429.52	0.0660
14.795496	429.53	0.0631
14.795972	429.54	0.0631
14.796448	429.55	0.0650
14.796932	429.56	0.0628
14.797416	429.57	0.0641
14.797900	429.58	0.0664
14.798384	429.59	0.0672
14.798867	429.60	0.0673
14.799351	429.61	0.0655
14.799835	429.62	0.0724
14.800319	429.63	0.0713
14.800803	429.64	0.0701
14.801286	429.65	0.0708
14.801770	429.66	0.0678
14.802254	429.67	0.0682
14.802738	429.68	0.0665
14.803222	429.69	0.0680
14.803706	429.70	0.0658
14.804189	429.71	0.0628
14.804673	429.72	0.0598
14.805157	429.73	0.0605
14.805641	429.74	0.0644
14.806125	429.75	0.0680
14.806608	429.76	0.0689
14.807092	429.77	0.0654
14.807576	429.78	0.0611
14.808060	429.79	0.0637
14.808544	429.80	0.0650
14.809028	429.81	0.0669
14.809512	429.82	0.0684
14.809995	429.83	0.0615
14.810479	429.84	0.0590
14.810963	429.85	0.0614
14.811447	429.86	0.0700
14.811931	429.87	0.0706
14.812414	429.88	0.0728
14.812898	429.89	0.0695
14.813382	429.90	0.0693
14.813866	429.91	0.0680
14.814350	429.92	0.0664
14.814834	429.93	0.0658
14.815317	429.94	0.0636
14.815801	429.95	0.0637
14.816285	429.96	0.0648
14.816769	429.97	0.0633
14.817253	429.98	0.0609
14.817736	429.99	0.0616
14.818220	430.00	0.0602
14.818704	430.01	0.0594
14.819188	430.02	0.0597
14.819672	430.03	0.0644
14.820156	430.04	0.0661
14.820640	430.05	0.0682
14.821123	430.06	0.0660
14.821607	430.07	0.0827
14.822091	430.08	0.2211
14.823542	430.11	0.1130
14.824026	430.12	0.0915
14.824509	430.13	0.0833
14.824992	430.14	0.0788
14.825476	430.15	0.0788
14.825960	430.16	0.0834
14.826443	430.17	0.0776
14.826926	430.18	0.0838
14.827410	430.19	0.0732
14.827894	430.20	0.0765
14.828377	430.21	0.0757
14.828860	430.22	0.0698
14.829344	430.23	0.0689
14.829827	430.24	0.0677
14.830311	430.25	0.0685
14.830794	430.26	0.0723
14.831278	430.27	0.0843
14.831761	430.28	0.0728
14.832245	430.29	0.0666
14.832728	430.30	0.0662
14.833212	430.31	0.0661
14.833695	430.32	0.0632
14.834179	430.33	0.0640
14.834662	430.34	0.0620
14.835146	430.35	0.0632
14.835629	430.36	0.0613
14.836113	430.37	0.0595
14.836596	430.38	0.0565
14.837080	430.39	0.0566
14.837563	430.40	0.0626
14.838047	430.41	0.0673
14.838530	430.42	0.0760
14.839014	430.43	0.1437
14.839497	430.44	0.1326
14.839981	430.45	0.1054
14.840464	430.46	0.0908
14.840948	430.47	0.0820
14.841431	430.48	0.0736
14.841915	430.49	0.0748
14.842398	430.50	0.0683
14.842882	430.51	0.0703
14.843365	430.52	0.0743
14.843849	430.53	0.0717
14.844332	430.54	0.0703
14.844816	430.55	0.0732
14.845299	430.56	0.0731
14.845782	430.57	0.0728
14.846266	430.58	0.0776
14.846750	430.59	0.0743
14.847233	430.60	0.0783
14.847716	430.61	0.0714
14.848200	430.62	0.0692
14.848683	430.63	0.0689
14.849167	430.64	0.0723
14.849650	430.65	0.0744
14.850133	430.66	0.0731
14.850616	430.67	0.0683
14.851100	430.68	0.0706
14.851582	430.69	0.0736
14.852066	430.70	0.0724
14.852549	430.71	0.0724
14.853032	430.72	0.0741
14.853515	430.73	0.0744
14.853998	430.74	0.0708
14.854481	430.75	0.0717
14.854964	430.76	0.0754
14.855447	430.77	0.0663
14.855930	430.78	0.0678
14.856413	430.79	0.0727
14.856896	430.80	0.0718
14.857379	430.81	0.0701
14.857862	430.82	0.0690
14.858345	430.83	0.0666
14.858828	430.84	0.0689
14.859311	430.85	0.0762
14.859794	430.86	0.0746
14.860277	430.87	0.0723
14.860760	430.88	0.0689
14.861243	430.89	0.0831
14.861726	430.90	0.0918
14.862209	430.91	0.0833
14.862692	430.92	0.0678
14.863175	430.93	0.0648
14.863658	430.94	0.0611
14.864141	430.95	0.0627
14.864624	430.96	0.0683
14.865107	430.97	0.0819
14.865590	430.98	0.1114
14.866073	430.99	0.1329
14.866556	431.00	0.1513
14.867039	431.01	0.1505
14.867522	431.02	0.1479
14.868005	431.03	0.1015
14.868488	431.04	0.0909
14.868971	431.05	0.0842
14.869454	431.06	0.0865
14.869938	431.07	0.0769
14.870420	431.08	0.0751
14.870904	431.09	0.0693
14.871386	431.10	0.0661
14.871870	431.11	0.0628
14.872353	431.12	0.0830
14.872836	431.13	0.1022
14.873319	431.14	0.1101
14.873802	431.15	0.1295
14.874285	431.16	0.2365
14.874768	431.17	0.2163
14.875251	431.18	0.3087
14.876726	431.21	0.1037
14.877236	431.22	0.0907
14.877746	431.23	0.0813
14.878256	431.24	0.0773
14.878765	431.25	0.0789
14.879275	431.26	0.0751
14.879784	431.27	0.0732
14.880294	431.28	0.0759
14.880804	431.29	0.0775
14.881314	431.30	0.0788
14.881823	431.31	0.0843
14.882333	431.32	0.0949
14.882843	431.33	0.0844
14.883352	431.34	0.0775
14.883862	431.35	0.0746
14.884372	431.36	0.0767
14.884881	431.37	0.0755
14.885391	431.38	0.0769
14.885901	431.39	0.0786
14.886410	431.40	0.0805
14.886920	431.41	0.0808
14.887430	431.42	0.0783
14.887939	431.43	0.0802
14.888449	431.44	0.0729
14.888959	431.45	0.0696
14.889468	431.46	0.0669
14.889978	431.47	0.0712
14.890488	431.48	0.0723
14.890997	431.49	0.0679
14.891507	431.50	0.0671
14.892017	431.51	0.0700
14.892526	431.52	0.0696
14.893036	431.53	0.0629
14.893546	431.54	0.0678
14.894056	431.55	0.0600
14.894565	431.56	0.0572
14.895075	431.57	0.0592
14.895584	431.58	0.0597
14.896094	431.59	0.0617
14.896604	431.60	0.0630
14.897114	431.61	0.0746
14.897623	431.62	0.0783
14.898133	431.63	0.0770
14.898643	431.64	0.0800
14.899152	431.65	0.0788
14.899662	431.66	0.0786
14.900172	431.67	0.0760
14.900681	431.68	0.0731
14.901191	431.69	0.0719
14.901701	431.70	0.0698
14.902210	431.71	0.0704
14.902720	431.72	0.0821
14.903230	431.73	0.0747
14.903739	431.74	0.0691
14.904249	431.75	0.0652
14.904778	431.76	0.0677
14.905308	431.77	0.0771
14.905837	431.78	0.0747
14.906366	431.79	0.0698
14.906896	431.80	0.0646
14.907425	431.81	0.0666
14.907955	431.82	0.0646
14.908484	431.83	0.0673
14.909014	431.84	0.0641
14.909543	431.85	0.0657
14.910072	431.86	0.0698
14.910602	431.87	0.0707
14.911131	431.88	0.0754
14.911660	431.89	0.0712
14.912190	431.90	0.0680
14.912719	431.91	0.0741
14.913249	431.92	0.0704
14.913778	431.93	0.0728
14.914307	431.94	0.0702
14.914837	431.95	0.0746
14.915366	431.96	0.0721
14.915896	431.97	0.0732
14.916425	431.98	0.0804
14.916954	431.99	0.0765
14.917484	432.00	0.0796
14.918013	432.01	0.0771
14.918542	432.02	0.0790
14.919072	432.03	0.0812
14.919601	432.04	0.0833
14.920131	432.05	0.0856
14.920660	432.06	0.0936
14.921189	432.07	0.1094
14.921719	432.08	0.0966
14.923836	432.12	0.0928
14.924366	432.13	0.0937
14.924895	432.14	0.0881
14.925424	432.15	0.0851
14.925954	432.16	0.0851
14.926483	432.17	0.0874
14.927013	432.18	0.0808
14.927542	432.19	0.0789
14.928071	432.20	0.0805
14.928601	432.21	0.0778
14.929130	432.22	0.0730
14.929660	432.23	0.0624
14.930189	432.24	0.0746
14.930718	432.25	0.0750
14.931248	432.26	0.0733
14.931777	432.27	0.0727
14.932306	432.28	0.1468
14.933365	432.30	0.1286
14.933826	432.31	0.1076
14.934288	432.32	0.0920
14.934749	432.33	0.0745
14.935210	432.34	0.0731
14.935671	432.35	0.0636
14.936133	432.36	0.0683
14.936594	432.37	0.0710
14.937055	432.38	0.0727
